recuadro amazon_mx 2026-09-18 (salidas A.7): activas=260
  evaluadas=0 no_evaluadas=102 [canal_sin_dato=102] sin_goal=158 fuera_de_alcance=0 [] [CUADRA]
  sin_goal: 0O-B6OS-8RRE (848.00 MXN, fba)
  sin_goal: KS-FNBM-QGR4 (1189.00 MXN, fba)
  sin_goal: L5-F5N4-9QKK (1489.00 MXN, fba)
  sin_goal: LQ-FV4D-DY2I (1188.00 MXN, fba)
  sin_goal: LR-WH6U-IFPR (848.00 MXN, fba)
  sin_goal: M9-29TE-22D4 (1488.00 MXN, fba)
  sin_goal: N3-9EZ5-C788 (1988.00 MXN, fba)
  sin_goal: N3-DIHH-JI1Y (988.00 MXN, fba)
  sin_goal: NE-DHYF-88J8 (1189.00 MXN, fba)
  sin_goal: NF-4CWM-MTJ1 (1189.00 MXN, fba)
  sin_goal: NQ-84H0-WN2U (1489.00 MXN, fba)
  sin_goal: NQ-MRNS-N1WJ (1489.00 MXN, fba)
  sin_goal: NR-ESUP-XSTX (1488.00 MXN, fba)
  sin_goal: NY-H6E7-SE8W (699.00 MXN, fba)
  sin_goal: NY-HR25-6J8Z (1189.00 MXN, fba)
  sin_goal: NY-YIAW-00TT (1980.00 MXN, fba)
  sin_goal: OH-NDX9-CENZ (1648.00 MXN, fba)
  sin_goal: P0-QRQF-3BVO (848.00 MXN, fba)
  sin_goal: P4-LVXK-YLL4 (768.90 MXN, fba)
  sin_goal: PF-62AU-I8OD (1288.00 MXN, fba)
  sin_goal: PJ-G5N3-CTQP (1189.00 MXN, fba)
  sin_goal: PZ-7GRB-WXW6 (1189.00 MXN, fba)
  sin_goal: Q1-LJVF-00T6 (1189.00 MXN, fba)
  sin_goal: Q3-7EV3-8TBH (1288.00 MXN, fba)
  sin_goal: QD-GP0W-FJIL (1189.00 MXN, fba)
  sin_goal: QK-G5F2-5OWL (848.00 MXN, fba)
  sin_goal: QZ-2CWS-YAFC (988.00 MXN, fba)
  sin_goal: R0-1PGP-H7CT (1189.00 MXN, fba)
  sin_goal: R8-1D4Y-EH9N (988.00 MXN, fba)
  sin_goal: RE-BLBJ-AGXT (1189.00 MXN, fba)
  sin_goal: RJ-TX8X-PHXM (1489.00 MXN, fba)
  sin_goal: RK-BCI1-AL54 (988.00 MXN, fba)
  sin_goal: RL-M63U-48YM (768.90 MXN, fba)
  sin_goal: RR-3Y1N-2O9O (699.00 MXN, fba)
  sin_goal: RR-OCHB-O2OH (1988.00 MXN, fba)
  sin_goal: RV-44QK-DPQY (1489.00 MXN, fba)
  sin_goal: RW-BENK-KV82 (1189.00 MXN, fba)
  sin_goal: RY-F8T4-T449 (848.00 MXN, fba)
  sin_goal: S3-GQY8-PAHT (768.90 MXN, fba)
  sin_goal: SC-4I6D-YF4K (1288.00 MXN, fba)
  sin_goal: SH-8GIJ-V3RR (1189.00 MXN, fba)
  sin_goal: SK-YBQX-XQWV (988.00 MXN, fba)
  sin_goal: T6-3V5J-E4UW (768.90 MXN, fba)
  sin_goal: TL-0DCX-88MW (768.90 MXN, fba)
  sin_goal: TR-F1VH-BX11 (1648.00 MXN, fba)
  sin_goal: TZ-3HRK-XG5I (699.00 MXN, fba)
  sin_goal: U4-EOUM-RUC3 (1489.00 MXN, fba)
  sin_goal: US-2TZ7-Q1HS (1189.00 MXN, fba)
  sin_goal: UX-2ACS-X2OO (1489.00 MXN, fba)
  sin_goal: V1-UYJI-21O8 (768.90 MXN, fba)
  sin_goal: V8-OCS8-PIA8 (768.90 MXN, fba)
  sin_goal: VM-UYMP-V8EN (980.00 MXN, fba)
  sin_goal: W8-OBAE-HLLV (889.00 MXN, fba)
  sin_goal: W9-1UYX-1GZB (848.00 MXN, fba)
  sin_goal: WE-YMYU-9NGK (889.00 MXN, fba)
  sin_goal: WQ-EW4R-A7BV (699.00 MXN, fba)
  sin_goal: WR-NWRB-W6S9 (1889.00 MXN, fba)
  sin_goal: WS-ZEAY-DMXR (1980.00 MXN, fba)
  sin_goal: X5-HOYV-5YZ2 (988.00 MXN, fba)
  sin_goal: XM-20QN-2YJR (1489.00 MXN, fba)
  sin_goal: XN-431H-PUOR (1189.00 MXN, fba)
  sin_goal: Y2-5G7X-ZX9P (1688.00 MXN, fba)
  sin_goal: Y4-FB35-N645 (1069.20 MXN, fba)
  sin_goal: Y5-1M27-5WIY (1188.00 MXN, fba)
  sin_goal: Y6-F23J-CQ7A (1189.00 MXN, fba)
  sin_goal: YP-E1Z6-3317 (1189.00 MXN, fba)
  sin_goal: Z0-CT6I-LOCW (1189.00 MXN, fba)
  sin_goal: Z6-2B1O-CV5D (1188.00 MXN, fba)
  sin_goal: ZE-WMHI-Y88M (1189.00 MXN, fba)
  sin_goal: ZU-8248-Y5J2 (1988.00 MXN, fba)
  listing_identidad=342 (no son activas: Orbit no guarda el estado del bridge)
  puente_activas=unknown (el estado del bridge no esta en Orbit)
